loss,mse,loss_val,mse_val
0.01177277558368645,0.01177277558368645,0.011044276812092656,0.011044276812092656
0.01271627037357533,0.01271627037357533,0.011385705843250351,0.011385705843250351
0.06665407940910242,0.06665407940910242,0.06667520429685035,0.06667520429685035
0.06608981259080039,0.06608963445526228,0.06643995105034926,0.06643995105034926
0.06585716690197987,0.06585696232547837,0.06632625311613083,0.06632625311613083
0.0657062343970398,0.06570606445407813,0.06624452517875894,0.06624452517875894
0.06559254510438295,0.06559240478707799,0.0661723839584738,0.0661723839584738
0.06548671446413208,0.06548658089310053,0.06613539525477047,0.06613539525477047
0.06539694518392651,0.06539686499419674,0.06613567666235295,0.06613567666235295
0.06531813771705668,0.06531805126629522,0.06605034628459676,0.06605034628459676
0.06524619829454943,0.06524611597069825,0.06612938227639957,0.06612938227639957
0.06518191924666702,0.06518186247102868,0.06608413773673502,0.06608413773673502
0.06512610056625112,0.06512605215749935,0.06606451485475356,0.06606451485475356
0.0650737057833064,0.06507369027441527,0.06610728010789238,0.06610728010789238
0.06502166915233852,0.06502164834583253,0.06607692574404858,0.06607692574404858
0.06498589121344682,0.06498584972763416,0.06605803572826764,0.06605803572826764
0.06493676404126868,0.0649367030586316,0.06617534321478823,0.06617534321478823
0.06490350985052161,0.06490344624381031,0.06614806865003299,0.06614806865003299
0.06486721139447131,0.06486718599936872,0.06622908306731419,0.06622908306731419
0.0648300313437019,0.06482998805118821,0.06616632780060172,0.06616632780060172
0.06478787798445096,0.06478780778457649,0.06614088402553038,0.06614088402553038
0.06474886104403288,0.06474880970027527,0.06617131469432604,0.06617131469432604
0.06471436711247873,0.06471435845586042,0.06612630461511965,0.06612630461511965
0.06468285915008685,0.06468283182108399,0.06613450895317577,0.06613450895317577
0.064651450365452,0.06465141227162037,0.06613871721889485,0.06613871721889485
0.06462261109361722,0.06462256957011588,0.06617171148007568,0.06617171148007568
0.06458851481530811,0.0645884592362853,0.0661786453036422,0.0661786453036422
0.06456553070578362,0.06456547984020114,0.06615048287097704,0.06615048287097704
0.06453496296049446,0.06453493550900337,0.0661720614456995,0.0661720614456995
0.06450579718339493,0.06450571996635966,0.06616673847152428,0.06616673847152428
0.06447911199972556,0.06447906762601792,0.06618443480692804,0.06618443480692804
0.06445779536452959,0.06445780288342091,0.0662513374647295,0.0662513374647295
0.06443482898046161,0.064434817973012,0.06616282340308483,0.06616282340308483
0.06440604118193925,0.06440604704252874,0.06620319249023768,0.06620319249023768
0.012340401352739177,0.012340401352739177,0.010932592225303366,0.010932592225303366
